gloss,split,video_id
0,Bright,train,005_006_004
1,Bright,train,005_007_001
2,Ship,train,037_004_003
3,Chewing-gum,train,047_002_003
4,Food,train,023_006_002
5,Last name,train,027_008_003
6,Shut down,train,052_004_002
7,Deaf,train,042_002_005
8,Dance,train,057_008_002
9,Coin,train,035_001_005
10,Yellow,train,004_003_001
11,Dance,train,057_005_003
12,Opaque,train,001_004_001
13,Argentina,train,024_002_005
14,Realize,train,062_005_002
15,Birthday,train,030_008_004
16,Copy,train,060_009_005
17,Photo,train,032_007_004
18,Sweet milk,train,020_008_004
19,Coin,train,035_008_005
20,Coin,train,035_005_002
21,Where,train,028_003_003
22,Deaf,train,042_002_004
23,Colors,train,007_003_004
24,Realize,train,062_002_004
25,Music,train,036_002_001
26,Bright,train,005_008_005
27,Candy,train,046_009_005
28,Green,train,003_010_004
29,Shut down,train,052_009_004
30,To land,train,054_006_001
31,Buy,train,059_001_005
32,Appear,train,053_005_005
33,Candy,train,046_003_003
34,Drawer,train,014_003_001
35,Green,train,003_003_001
36,Dance,train,057_008_005
37,Learn,train,016_001_004
38,Breakfast,train,031_002_002
39,Find,train,064_006_005
40,Give,train,063_005_001
41,Sweet milk,train,020_005_004
42,Away,train,013_007_003
43,Colors,train,007_010_002
44,Realize,train,062_005_001
45,Milk,train,021_006_004
46,Candy,train,046_001_005
47,Skimmer,train,018_001_002
48,Urugauy,train,025_003_002
49,Dance,train,057_005_004
50,Yogurt,train,049_006_003
51,Name,train,039_002_001
52,Ship,train,037_004_001
53,Hungry,train,033_003_004
54,Shut down,train,052_002_004
55,Perfume,train,041_010_003
56,Call,train,017_008_001
57,Birthday,train,030_004_003
58,Bitter,train,019_006_001
59,Realize,train,062_002_001
60,Son,train,011_009_004
61,Spaghetti,train,048_006_005
62,Last name,train,027_002_003
63,Red,train,002_009_001
64,Learn,train,016_010_003
65,Enemy,train,010_001_004
66,Argentina,train,024_007_005
67,Hungry,train,033_005_002
68,Argentina,train,024_002_004
69,Thanks,train,051_002_005
70,Opaque,train,001_010_001
71,Away,train,013_002_001
72,Drawer,train,014_001_001
73,Music,train,036_001_001
74,Where,train,028_002_001
75,Away,train,013_008_002
76,Dance,train,057_003_001
77,Colors,train,007_009_004
78,To land,train,054_004_005
79,Women,train,009_002_005
80,Country,train,026_003_004
81,Where,train,028_005_003
82,Colors,train,007_005_003
83,Hungry,train,033_005_004
85,Argentina,train,024_005_004
86,Name,train,039_008_005
87,Enemy,train,010_003_005
88,Birthday,train,030_005_003
89,Son,train,011_004_003
90,Coin,train,035_010_003
91,Deaf,train,042_005_003
94,Ship,train,037_005_001
95,Argentina,train,024_007_001
96,Shut down,train,052_008_004
97,Birthday,train,030_009_004
98,Sweet milk,train,020_002_004
99,Son,train,011_001_003
100,Argentina,train,024_005_002
101,Bathe,train,058_009_002
102,Buy,train,059_005_005
103,Man,train,012_007_002
104,Bitter,train,019_002_002
105,Chewing-gum,train,047_004_003
106,Photo,train,032_009_002
107,Colors,train,007_010_003
108,Bitter,train,019_005_004
109,Sweet milk,train,020_004_002
