gloss,split,video_id
0,book,train,69241
1,book,train,07069
2,book,train,07068
3,book,train,07070
4,book,val,07099
5,book,train,07074
6,drink,val,69302
7,drink,train,65539
8,drink,train,17710
9,drink,train,17733
10,drink,train,65540
11,drink,val,17734
12,drink,train,17711
13,drink,train,17712
14,drink,test,17713
15,drink,train,17709
16,drink,train,17720
17,drink,train,17721
18,drink,train,17722
19,drink,train,17723
20,drink,val,17724
21,computer,train,12328
22,computer,val,12312
23,computer,train,12311
24,computer,train,12338
25,computer,train,12313
26,computer,train,12314
27,computer,val,12315
28,computer,train,12316
29,computer,train,12317
30,computer,train,12318
31,computer,train,12319
32,computer,test,12320
33,computer,val,12326
34,computer,train,12327
35,before,train,05728
36,before,train,05749
37,before,val,05750
38,before,train,05729
39,before,train,05730
40,before,train,65167
41,before,train,05731
42,before,train,05732
43,before,train,05733
44,before,train,05734
45,before,test,05727
46,before,test,05739
47,before,train,05740
48,before,test,05741
49,before,train,05742
50,before,train,05743
51,chair,train,09848
52,chair,train,09869
53,chair,train,09849
54,chair,train,09850
55,chair,val,09851
56,chair,train,65328
57,chair,val,09854
58,go,val,69345
59,go,train,24955
60,go,train,24956
61,go,train,24941
62,go,test,24960
63,go,train,24961
64,go,train,24962
65,go,train,65824
66,go,train,24973
67,go,train,24943
68,go,val,24946
69,go,train,24947
70,go,train,24940
71,go,val,24952
72,go,train,24954
73,clothes,train,11310
74,clothes,train,11330
75,clothes,test,11311
76,clothes,train,11313
77,clothes,train,11309
78,who,train,69534
79,who,train,63242
80,who,test,63226
81,who,train,63227
82,who,train,63228
83,who,val,63229
84,who,val,63230
85,who,train,63231
86,who,train,66778
87,who,train,63232
88,who,train,66779
89,who,train,63225
90,who,train,63236
91,who,val,63237
92,candy,val,08929
93,candy,train,08916
94,candy,train,08917
95,candy,val,08918
96,candy,train,08919
97,candy,train,08920
98,candy,train,08921
99,candy,train,65298
100,candy,train,08924
101,candy,train,65299
102,candy,test,65300
103,candy,test,08915
104,candy,test,08925
105,cousin,test,65415
106,cousin,train,13647
107,cousin,train,13648
108,cousin,train,13631
109,cousin,train,13632
110,cousin,val,13633
111,cousin,val,13634
112,cousin,test,13635
113,cousin,train,13636
114,cousin,train,13630
115,cousin,train,13640
116,cousin,val,13641
117,cousin,train,13642
118,cousin,train,13646
119,deaf,train,14882
120,deaf,val,14903
121,deaf,test,14883
122,deaf,train,14884
123,deaf,train,14885
124,deaf,train,14886
125,deaf,train,65445
126,deaf,val,14887
127,deaf,test,14888
128,deaf,train,14893
129,deaf,train,14894
130,fine,train,21870
131,fine,test,21890
132,fine,train,21891
133,fine,train,21871
134,fine,val,21872
135,fine,train,21869
136,fine,val,21874
137,fine,train,21878
138,fine,train,21883
139,help,val,69364
140,help,train,27221
141,help,train,27206
142,help,train,27207
143,help,train,27208
144,help,test,27209
145,help,train,65890
146,help,test,27213
147,help,train,27214
148,help,val,65891
149,help,train,65889
150,help,train,27215
151,help,train,27216
152,help,train,27217
153,no,val,69411
154,no,test,38525
155,no,train,38544
156,no,train,38527
157,no,train,38529
158,no,train,38530
159,no,train,38532
160,no,val,38533
161,no,train,66183
162,no,train,38524
163,no,train,38534
164,thin,val,57948
165,thin,train,57949
166,thin,train,57934
167,thin,train,57953
168,thin,train,57935
169,thin,train,57936
170,thin,train,57937
171,thin,train,66606
172,thin,train,57939
173,thin,train,57940
174,thin,test,57941
175,thin,train,57942
176,thin,val,66607
177,thin,val,57933
178,thin,test,57943
179,thin,train,57947
180,walk,train,62175
181,walk,train,62159
182,walk,test,62160
183,walk,train,62163
184,walk,train,62164
185,walk,train,66743
186,walk,train,66742
187,walk,val,62158
188,walk,train,62168
189,walk,train,62169
190,walk,train,62170
191,year,val,64211
192,year,train,64224
193,year,test,64210
194,year,train,64212
195,year,train,66818
196,year,train,64213
197,year,train,66816
198,year,test,64209
199,year,train,64219
200,year,train,64218
201,yes,val,69546
202,yes,val,64287
203,yes,train,64284
204,yes,train,64291
205,yes,train,64292
206,yes,test,64293
207,yes,train,66820
208,yes,train,64280
209,yes,train,64300
210,yes,train,64281
211,yes,train,64288
212,yes,train,64283
213,all,train,69206
214,all,train,02003
215,all,train,01987
216,all,train,01988
217,all,train,01991
218,all,train,01992
219,all,train,65043
220,all,test,01986
221,black,val,69236
222,black,train,06472
223,black,train,06473
224,black,train,06474
225,black,val,06476
226,black,train,06477
227,black,train,06478
228,black,train,65200
229,black,train,06471
230,black,train,06486
231,cool,train,69281
232,cool,train,65403
233,cool,train,13213
234,cool,val,13197
235,cool,train,13216
236,cool,train,13217
237,cool,test,13198
238,cool,train,13199
239,cool,train,13200
240,cool,train,13201
241,cool,val,65402
242,cool,train,13202
243,cool,val,13203
244,cool,test,13196
245,cool,train,13208
246,cool,train,13209
247,finish,val,21942
248,finish,train,21943
249,finish,test,21944
250,finish,train,21945
251,finish,val,21949
252,finish,train,21950
253,finish,train,65721
254,finish,train,21941
255,finish,train,21951
256,hot,val,69368
257,hot,train,28125
258,hot,train,28108
259,hot,train,28109
260,hot,train,28110
261,hot,train,28111
262,hot,val,28112
263,hot,train,28115
264,hot,train,28116
265,hot,train,28107
266,like,test,69389
267,like,train,33266
268,like,train,33285
269,like,train,33267
270,like,test,33286
271,like,val,33268
272,like,train,33269
273,like,val,33270
274,like,train,33273
275,like,train,33274
276,many,val,69396
277,many,train,34823
278,many,train,34824
279,many,train,34825
280,many,train,34826
281,many,train,34827
282,many,train,34830
283,many,train,34831
284,many,train,34832
285,many,train,34839
286,mother,val,69402
287,mother,train,36946
288,mother,train,36930
289,mother,train,36931
290,mother,train,36932
291,mother,train,36933
292,mother,train,36936
293,mother,train,36937
294,mother,train,66147
295,mother,train,66146
296,mother,train,36929
297,now,val,69413
298,now,val,38994
299,now,train,38999
300,now,val,39000
301,now,train,38990
302,now,train,39006
303,now,test,38991
304,now,train,38995
305,now,train,38997
306,orange,val,69422
307,orange,train,40115
308,orange,train,40116
309,orange,train,40117
310,orange,val,40118
311,orange,train,40119
312,orange,train,40121
313,orange,train,66246
314,orange,train,40129
315,orange,train,40130
316,table,train,56557
317,table,train,56579
318,table,train,56558
319,table,train,56556
320,table,train,56563
321,thanksgiving,val,57628
322,thanksgiving,train,57647
323,thanksgiving,val,57629
324,thanksgiving,train,57630
325,thanksgiving,train,57631
326,thanksgiving,train,57632
327,thanksgiving,train,57633
328,thanksgiving,train,57634
329,thanksgiving,train,57635
330,thanksgiving,train,57638
